Sample,Genotype,CellType,Replicate
HttKOESCa,KO,ESC,a
HttKOESCb,KO,ESC,b
HttKONPCa,KO,NPC,a
HttKONPCb,KO,NPC,b
HttQ111ESCa,Q111,ESC,a
HttQ111ESCb,Q111,ESC,b
HttQ111NPCa,Q111,NPC,a
HttQ111NPCb,Q111,NPC,b
HttQ20ESCa,Q20,ESC,a
HttQ20ESCb,Q20,ESC,b
HttQ20NPCa,Q20,NPC,a
HttQ20NPCb,Q20,NPC,b
HttQ50ESCa,Q50,ESC,a
HttQ50ESCb,Q50,ESC,b
HttQ50NPCa,Q50,NPC,a
HttQ50NPCb,Q50,NPC,b
HttQ89ESCa,Q89,ESC,a
HttQ89ESCb,Q89,ESC,b
HttQ89NPCa,Q89,NPC,a
HttQ89NPCb,Q89,NPC,b
HttWTESCa,WT,ESC,a
HttWTESCb,WT,ESC,b
HttWTNPCa,WT,NPC,a
HttWTNPCb,WT,NPC,b
