Geo_name;Sample_treatment;Sample_title
GSM1244809;10nM E2 treatment for 24h;E2_Rep1
GSM1244810;10nM E2 treatment for 24h;E2_Rep2
GSM1244811;10nM E2 treatment for 24h;E2_Rep3
GSM1244812;10nM E2 treatment for 24h;E2_Rep4
GSM1244813;10nM E2 treatment for 24h;E2_Rep5
GSM1244814;10nM E2 treatment for 24h;E2_Rep6
GSM1244815;10nM E2 treatment for 24h;E2_Rep7
GSM1244816;Control ethanol 24h;Control_Rep1
GSM1244817;Control ethanol 24h;Control_Rep2
GSM1244818;Control ethanol 24h;Control_Rep3
GSM1244819;Control ethanol 24h;Control_Rep4
GSM1244820;Control ethanol 24h;Control_Rep5
GSM1244821;Control ethanol 24h;Control_Rep6
GSM1244822;Control ethanol 24h;Control_Rep7
