GeneID	GSM1244809	GSM1244810	GSM1244811	GSM1244812	GSM1244813	GSM1244814	GSM1244815	GSM1244816	GSM1244817	GSM1244818	GSM1244819	GSM1244820	GSM1244821	GSM1244822
100287102	8	5	8	5	7	5	9	6	13	6	13	7	13	15
653635	271	134	275	121	224	154	200	149	440	227	251	239	363	429
102466751	3	2	3	1	3	2	2	1	7	3	4	1	3	4
107985730	0	1	0	0	0	0	1	1	1	0	0	0	1	1
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	78	81	87	61	86	85	98	104	175	129	137	128	164	251
729737	105	78	155	60	124	69	91	65	225	118	169	99	179	207
102725121	7	4	7	5	7	4	8	4	14	7	12	6	12	16
102723897	315	157	334	130	259	168	228	175	529	249	301	273	401	483
102465909	3	3	4	1	3	2	3	1	7	4	4	1	3	4
107985721	1	2	2	2	1	2	1	1	4	1	3	1	3	4
112268260	76	67	85	88	104	82	118	137	222	197	183	190	233	397
729759	0	0	0	0	0	0	0	0	0	0	1	0	1	0
100132287	75	55	117	37	77	51	62	42	157	85	113	70	123	125
105378947	10	8	9	9	13	7	12	17	21	17	18	19	25	44
101928626	1	2	0	0	1	0	0	0	0	0	1	1	2	2
113219467	2226	1626	1393	2067	2043	865	774	1952	3526	2985	2641	2125	2186	4045
81399	2	1	5	2	1	1	1	4	4	4	4	4	5	7
100133331	93	83	148	47	95	57	77	53	182	104	127	86	143	173
107984841	13	22	26	14	21	15	16	14	45	21	37	17	36	42
107984847	14	32	28	13	22	20	19	12	52	31	51	19	42	48
107984849	2	6	4	1	2	2	3	2	4	4	4	1	6	5
100288069	21	47	48	26	41	30	33	30	77	52	64	40	67	81
105378580	28	56	37	21	28	24	35	29	57	27	60	36	51	70
400728	7	3	4	4	3	6	7	10	11	6	10	11	13	21
79854	15	14	18	6	13	14	11	12	32	17	25	13	22	37
643837	278	296	285	230	290	258	287	263	537	420	447	384	491	812
107984850	0	0	0	0	2	2	1	2	2	2	1	1	0	1
284593	7	6	3	5	6	7	5	6	9	5	7	7	6	15
284600	20	21	29	7	15	5	19	7	35	19	40	12	25	19
100130417	56	25	81	24	56	37	38	42	116	46	85	65	76	101
107985728	89	70	162	51	109	76	70	86	259	127	195	139	219	209
148398	159	60	155	76	131	74	103	63	185	109	95	119	139	188
26155	3270	1901	3002	1988	3122	2477	2958	1426	3578	2393	2229	2314	2964	4404
339451	221	95	277	62	152	105	134	62	372	131	163	123	220	217
84069	95	58	157	41	85	67	83	55	186	101	107	103	126	141
84808	15	7	23	10	16	11	14	9	36	20	24	13	27	34
57801	96	32	87	35	64	49	71	36	134	71	60	92	68	114
9636	1918	367	1873	399	997	864	881	552	3226	1291	902	2012	1715	2274
375790	4538	1960	5350	1953	3842	2681	3324	2710	10329	5110	5087	5605	6821	9601
100288175	59	66	75	36	54	36	55	31	85	55	82	44	75	108
112267874	245	137	234	143	239	178	207	45	167	99	82	100	134	180
105378948	154	130	188	72	126	78	106	54	233	94	152	97	151	193
401934	665	367	637	411	667	485	638	129	354	251	226	255	313	504
54991	205	67	172	53	107	79	98	42	213	84	85	95	93	161
254099	3	1	1	0	0	1	0	1	2	1	1	1	2	0
406984	0	0	0	0	1	0	0	0	0	0	0	0	0	0
406983	1	0	4	0	0	0	1	0	4	0	3	0	1	1
554210	4	3	1	2	1	2	1	0	3	2	4	1	6	4
100506376	4	0	5	1	3	1	5	2	4	4	1	4	10	11
254173	14	11	13	9	21	6	7	6	32	17	20	18	23	21
8784	15	7	20	6	15	9	12	8	34	8	12	16	20	20
7293	1	0	1	1	3	0	0	1	4	0	0	1	1	1
51150	2985	1178	2663	1459	2817	2152	2389	1521	4702	2793	2488	3084	3889	5175
126792	554	330	478	409	581	453	556	343	637	505	465	516	617	965
388581	6	1	4	2	0	4	3	2	16	1	5	3	6	2
118424	817	492	631	569	716	706	812	541	1048	900	736	855	1032	1666
101928895	13	8	25	3	9	7	11	10	40	10	16	10	21	19
6339	29	19	67	8	29	13	20	10	88	21	34	30	49	31
116983	960	550	1180	416	809	502	668	453	1638	732	1070	703	1203	1308
102465434	0	0	1	0	0	0	0	0	0	0	1	0	0	1
109623456	5	3	14	1	6	2	4	1	9	1	5	2	9	5
126789	235	66	243	77	188	155	148	75	285	162	128	207	227	283
54973	1539	849	1634	955	1482	1204	1358	1039	2841	1709	1737	1816	2285	3357
102465435	0	1	0	0	1	0	0	1	2	0	1	1	1	1
80772	253	106	245	127	251	184	218	161	538	288	230	329	372	522
83756	18	8	22	3	22	15	10	3	37	17	20	21	27	37
1855	747	226	741	234	564	351	455	217	993	446	458	542	652	880
102466740	0	0	0	0	0	0	0	0	0	0	1	1	0	0
54587	29	21	43	13	33	21	26	22	74	38	52	27	59	63
54998	1596	616	1301	754	1254	1066	1245	725	1918	1265	960	1392	1588	2258
81669	3106	2832	3795	1652	2414	2085	2485	1775	4719	2070	3630	2023	3563	4013
148413	751	421	667	507	748	577	748	584	1270	919	806	912	1187	1726
55052	1866	1271	1386	1381	1563	1583	1852	1319	1992	1686	1570	1698	2025	3481
107984868	0	2	4	3	1	2	2	1	2	0	6	3	6	5
441869	2	1	2	1	4	1	1	2	3	1	3	1	3	4
105378585	1	1	2	0	1	1	0	2	3	2	2	2	1	5
643965	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102724312	0	0	1	0	1	1	1	0	2	0	0	0	3	3
107985729	3	3	3	0	3	2	0	0	3	1	4	3	6	2
